Gästeübernachtungen nach Gemeindebezirken seit 2006;;;;;;;;;;;;;;;;;;;
Gemeindebezirk;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Wien;9.356.044;9.675.208;10.232.472;9.842.827;10.860.126;11.405.048;12.262.828;12.719.289;13.524.266;14.328.261;14.962.438;15.512.730;16.483.497;17.604.573;4.590.272;4.996.746;13.204.666;17261126;18864964
1. Innere Stadt;1.842.739;1.886.813;1.824.962;1.774.470;1.978.827;2.047.280;2.137.689;2.193.825;2.201.172;2.467.265;2.566.709;2.762.168;2.976.413;3.119.868;821.599;914.110;2.183.851;2679576;2673870
2. Leopoldstadt;874.211;933.578;1.025.951;1.016.966;1.150.389;1.302.447;1.491.456;1.511.506;1.689.960;1.774.685;1.836.293;1.873.493;1.969.743;2.190.429;506.608;722.179;1.799.919;2215031;2409761
3. Landstraße;1.087.388;1.090.125;1.132.139;1.084.001;1.180.504;1.178.340;1.328.440;1.334.574;1.441.047;1.541.620;1.617.513;1.634.872;1.763.715;1.759.510;421.358;453.440;1.331.900;1784439;2151408
4. Wieden;424.922;419.082;426.300;400.129;466.373;583.575;604.494;599.639;645.860;662.802;693.377;690.268;722.676;786.109;203.349;162.363;461.717;581678;540895
5. Margareten;446.143;438.727;419.127;311.030;415.383;392.326;410.497;436.568;518.956;541.035;559.828;550.493;570.965;610.601;114.716;90.196;370.014;590129;619591
6. Mariahilf;562.058;587.184;627.733;570.565;649.583;632.651;581.200;650.169;652.690;678.936;685.431;697.329;694.895;725.723;186.240;196.773;588.903;736467;764136
7. Neubau;657.100;681.896;698.355;651.923;726.925;763.228;738.302;837.124;869.363;904.399;1.061.004;1.100.966;1.167.041;1.209.783;325.071;343.460;918.924;1044342;1077448
8. Josefstadt;298.002;310.648;320.165;316.073;342.492;383.484;426.356;413.065;434.365;483.688;487.699;511.528;533.531;531.023;136.822;144.887;427.284;507929;517821
9. Alsergrund;474.296;482.822;499.049;443.443;454.750;454.227;452.029;429.091;443.156;454.027;397.787;430.539;513.992;597.528;150.880;179.820;457.626;629639;643312
10. Favoriten;525.602;535.323;650.482;633.758;712.827;737.000;766.900;902.687;971.709;1.162.143;1.303.049;1.435.056;1.597.034;1.833.720;556.688;583.612;1.584.634;2203529;2436464
11. Simmering;18.717;19.829;82.768;90.817;102.777;109.124;133.917;203.920;243.917;235.048;271.649;264.766;287.723;302.556;70.614;64.125;156.137;220261;273013
12. Meidling;197.273;222.366;228.017;211.988;225.813;234.668;249.933;250.187;253.883;219.209;240.624;252.974;246.471;230.717;46.554;35.550;103.429;278665;533936
13. Hietzing;284.964;277.372;264.889;231.216;140.465;140.898;243.744;238.021;265.369;275.706;273.863;299.628;322.279;289.729;104.748;103.339;182.733;215592;217654
14. Penzing;310.759;298.206;290.188;236.046;217.106;298.429;392.250;386.574;405.218;463.358;484.142;486.392;455.573;481.295;130.433;135.562;252.714;331102;318690
15. Rudolfsheim-Fünfhaus;459.588;515.402;570.989;639.654;723.053;684.508;869.802;920.569;927.511;896.411;913.893;950.086;918.589;976.028;246.281;241.469;901.854;1211379;1352432
16. Ottakring;102.117;97.294;106.343;150.384;163.770;172.767;152.243;145.210;167.978;164.040;170.454;173.768;208.045;232.769;75.707;73.775;172.833;245349;267368
17. Hernals;86.999;118.150;208.806;272.603;298.081;323.966;345.243;332.870;333.381;336.399;348.659;316.324;316.621;349.897;87.295;105.732;191.590;318523;343315
18. Währing;43.745;47.046;42.181;38.436;38.212;43.345;7.419;38.995;46.507;57.051;12.606;17.703;23.745;26.310;8.930;11.167;38.525;68220;59454
19. Döbling;140.786;159.744;173.677;151.899;153.781;159.221;144.047;115.137;159.846;169.506;194.260;180.193;197.719;205.745;55.727;64.798;151.041;194552;197448
20. Brigittenau;106.179;112.315;116.093;96.509;105.453;114.831;110.105;123.474;131.994;132.855;152.070;170.229;230.469;314.415;76.287;97.679;323.075;424051;444007
21. Floridsdorf;28.471;32.534;34.233;27.038;29.955;36.821;55.559;49.581;46.146;40.623;43.154;40.600;49.494;55.738;19.842;18.834;81.096;91948;149878
22. Donaustadt;294.690;339.810;416.284;424.248;512.065;534.221;551.287;546.056;608.947;612.237;590.838;607.519;659.004;699.926;223.317;238.408;478.990;630957;801120
23. Liesing;89.295;68.942;73.741;69.631;71.542;77.691;69.916;60.447;65.291;55.218;57.536;65.836;57.760;75.154;21.206;15.468;45.877;57768;71943
Quelle: MA 23.;;;;;;;;;;;;;;;;;;;
